,Quantity,Tax,Size,Paper Type,Lamination,Sides Printed,Turnaround,PriceExpress,Production Days Express,Express Sku
2147,2000,0.0,1/3 A4 (DL),130gsm Art Paper Gloss Finish,None,Double Sided,,33.44,1,FLY-693-514-565-564-EXPRESS
2151,2000,0.2,Square 210mm x 210mm,120gsm Premium Smooth White Paper,None,Double Sided,,94.05,2,FLY-516-600-653-599-EXPRESS
2152,2000,0.0,Square 105mm x 105mm,300gsm Art Board Coated,None,Single Sided,,57.57,1,FLY-698-715-508-600-EXPRESS
2153,2000,0.0,1/3 A4 (DL),350gsm Art Board Silk Finish,None,Double Sided,,73.15,1,FLY-565-515-598-512-EXPRESS
2154,2000,0.2,Square 148mm x 148mm,100gsm Premium Smooth White Paper,None,Single Sided,,39.71,2,FLY-520-556-554-566-EXPRESS
2155,2000,0.0,A6,350gsm Recycled Uncoated,None,Double Sided,,60.61,1,FLY-563-657-517-649-EXPRESS
2157,2000,0.0,Square 105mm x 105mm,300gsm Art Board Coated,None,Double Sided,,60.61,1,FLY-519-505-603-518-EXPRESS
2158,2000,0.0,A7,170gsm Art Paper Silk Finish,None,Single Sided,,23.83,1,FLY-553-613-506-657-EXPRESS
2160,2000,0.2,A3,450gsm Art Board Silk Finish,None,Double Sided,,569.52,1,FLY-564-562-463-610-EXPRESS
2162,2000,0.0,A6,130gsm Art Paper Gloss Finish,None,Single Sided,,25.81,1,FLY-561-661-558-561-EXPRESS
2163,2000,0.0,A4,170gsm Art Paper Silk Finish,None,Double Sided,,146.3,1,FLY-529-515-554-610-EXPRESS
2165,2000,0.0,A7,130gsm Art Paper Silk Finish,None,Single Sided,,19.86,1,FLY-659-703-572-557-EXPRESS
2166,2000,0.0,A5,130gsm Art Paper Silk Finish,None,Single Sided,,46.66,1,FLY-476-519-554-612-EXPRESS
2167,2000,0.2,Square 148mm x 148mm,120gsm Premium Smooth White Paper,None,Double Sided,,52.25,2,FLY-567-666-644-514-EXPRESS
2168,2000,0.0,Square 210mm x 210mm,350gsm Art Board Silk Finish,None,Double Sided,,261.25,1,FLY-559-497-514-462-EXPRESS
